time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1909-05-30T21:01:15.680Z,-7.899,129.508,15,6.72,mw,,,,,iscgemsup,iscgemsup16958036,2022-05-09T15:13:06.714Z,"284 km ENE of Lospalos, Timor Leste",earthquake,,25,0.88,,reviewed,iscgemsup,iscgemsup
1909-06-03T18:40:43.650Z,-2.713,101.188,35,7.58,mw,,,,,iscgem,iscgem16958038,2022-04-25T20:30:04.786Z,"76 km SSW of Sungai Penuh, Indonesia",earthquake,,7,0.62,,reviewed,iscgem,iscgem
1910-07-07T08:16:42.160Z,-9.632,111.653,35,6.71,mw,,,,,iscgem,iscgem16958095,2022-04-25T20:25:10.851Z,"169 km S of Boyolangu, Indonesia",earthquake,,19,0.2,,reviewed,iscgem,iscgem
1910-12-16T14:44:55.850Z,4.668,126.017,15,7.61,mw,,,,,iscgem,iscgem16958127,2022-04-25T20:32:15.623Z,"101 km SE of Sarangani, Philippines",earthquake,,43.9,0.2,,reviewed,iscgem,iscgem
1910-12-18T02:45:06.830Z,4.841,125.537,35,6.5,mw,,,,,iscgem,iscgem610643057,2022-04-25T20:42:00.271Z,"62 km S of Sarangani, Philippines",earthquake,,25,0.24,,reviewed,iscgem,iscgem
1911-12-31T06:07:08.120Z,-2.305,140.669,15,6.81,mw,,,,,iscgem,iscgem16958176,2022-04-25T20:33:49.240Z,"25 km NNW of Jayapura, Indonesia",earthquake,,9.4,0.4,,reviewed,iscgem,iscgem
1912-08-17T19:11:56.320Z,3.568,125.973,35,7.49,mw,,,,,iscgem,iscgem16958206,2022-04-25T20:34:15.783Z,"210 km SSE of Sarangani, Philippines",earthquake,,30.6,0.2,,reviewed,iscgem,iscgem
1912-12-23T23:56:12.490Z,-0.676,122.745,35,6.67,mw,,,,,iscgem,iscgem16958224,2022-04-25T20:34:28.342Z,"30 km N of Luwuk, Indonesia",earthquake,,35.9,0.32,,reviewed,iscgem,iscgem
1913-01-11T13:16:58.990Z,1.373,121.928,35,7.11,mw,,,,,iscgem,iscgem914029,2022-04-26T00:07:58.709Z,"156 km NW of Gorontalo, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1913-03-14T08:45:05.370Z,5.544,125.891,15,7.88,mw,,,,,iscgem,iscgem914043,2022-04-26T00:08:12.063Z,"47 km ESE of Kalbay, Philippines",earthquake,,14.7,0.33,,reviewed,iscgem,iscgem
1913-03-26T21:35:49.960Z,1.928,126.719,70,6.21,mw,,,,,iscgem,iscgem914047,2022-04-26T00:08:16.537Z,"145 km W of Tobelo, Indonesia",earthquake,,20,0.2,,reviewed,iscgem,iscgem
1913-07-06T16:12:49.790Z,-1.377,128.168,35,6.5,mw,,,,,iscgem,iscgem914080,2022-04-26T00:09:26.879Z,"232 km NNW of Amahai, Indonesia",earthquake,,12,0.2,,reviewed,iscgem,iscgem
1913-08-13T04:25:42.330Z,-6.746,105.213,35,6.63,mw,,,,,iscgem,iscgem914089,2022-04-26T00:09:43.553Z,"79 km WSW of Labuan, Indonesia",earthquake,,30.2,0.23,,reviewed,iscgem,iscgem
1913-10-29T04:32:11.600Z,0.089,97.208,25,6.21,mw,,,,,iscgem,iscgem914101,2022-04-26T00:09:56.771Z,"251 km SSW of Singkil, Indonesia",earthquake,,5.7,0.27,,reviewed,iscgem,iscgem
1913-11-19T03:20:25.280Z,-2.39,122.512,35,6.79,mw,,,,,iscgem,iscgem914104,2022-04-26T00:09:59.644Z,"161 km S of Luwuk, Indonesia",earthquake,,25,0.64,,reviewed,iscgem,iscgem
1914-05-26T14:22:46.630Z,-1.98,136.944,15,8.15,mw,,,,,iscgem,iscgem913984,2022-04-26T00:06:50.128Z,"130 km SE of Biak, Indonesia",earthquake,,25,0.47,,reviewed,iscgem,iscgem
1914-05-29T04:47:20.170Z,0.247,97.554,35,6.71,mw,,,,,iscgem,iscgem913987,2022-04-26T00:06:58.225Z,"214 km SW of Sibolga, Indonesia",earthquake,,5.4,0.2,,reviewed,iscgem,iscgem
1914-06-25T19:07:25.040Z,-4.012,101.638,35,7.55,mw,,,,,iscgem,iscgem913990,2022-04-26T00:07:08.775Z,"73 km WSW of Bengkulu, Indonesia",earthquake,,6.6,0.24,,reviewed,iscgem,iscgem
1914-07-05T21:51:05.580Z,-2.022,136.619,15,6.46,mw,,,,,iscgem,iscgem913995,2022-04-26T00:07:17.799Z,"110 km SSE of Biak, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1914-07-14T03:10:26.010Z,-5.305,102.579,30,6.32,mw,,,,,iscgem,iscgem913997,2022-04-26T00:07:21.029Z,"159 km SSW of Pagar Alam, Indonesia",earthquake,,7.6,0.32,,reviewed,iscgem,iscgem
1914-10-23T06:18:45.560Z,4.206,128.022,35,7.48,mw,,,,,iscgem,iscgem914014,2022-04-26T00:07:41.555Z,"273 km N of Tobelo, Indonesia",earthquake,,31.1,0.34,,reviewed,iscgem,iscgem
1915-04-03T13:42:51.790Z,1.363,97.121,35,6.24,mw,,,,,iscgem,iscgem913888,2022-04-26T00:03:50.085Z,"126 km SW of Singkil, Indonesia",earthquake,,3.8,0.35,,reviewed,iscgem,iscgem
1915-05-05T11:09:11.940Z,-6.344,130.475,35,6.45,mw,,,,,iscgem,iscgem913901,2022-04-26T00:04:01.773Z,"264 km WSW of Tual, Indonesia",earthquake,,28.8,0.47,,reviewed,iscgem,iscgem
1915-08-03T13:05:03.870Z,-3.347,135.559,35,6.78,mw,,,,,iscgem,iscgem913926,2022-04-26T00:05:05.242Z,"6 km ENE of Nabire, Indonesia",earthquake,,8.8,0.42,,reviewed,iscgem,iscgem
1915-08-12T07:36:31.100Z,-2.815,118.142,35,6.28,mw,,,,,iscgem,iscgem913933,2022-04-26T00:05:20.184Z,"84 km W of Mamuju, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1915-12-19T20:13:24.430Z,2.278,96.157,35,6.07,mw,,,,,iscgem,iscgem913958,2022-04-26T00:06:07.818Z,"33 km SW of Sinabang, Indonesia",earthquake,,5.4,0.2,,reviewed,iscgem,iscgem
1916-01-13T06:18:35.180Z,-3.206,135.699,25,7,mw,,,,,iscgem,iscgem913749,2022-04-25T21:14:41.293Z,"27 km NE of Nabire, Indonesia",earthquake,,25,0.23,,reviewed,iscgem,iscgem
1916-01-13T08:20:47.050Z,-3.076,135.676,25,7.66,mw,,,,,iscgem,iscgem913750,2022-04-26T00:01:30.565Z,"36 km NNE of Nabire, Indonesia",earthquake,,25,0.36,,reviewed,iscgem,iscgem
1916-01-13T10:51:11.610Z,-1.916,135.968,35,6.41,mw,,,,,iscgem,iscgem913751,2022-04-26T00:01:32.032Z,"82 km S of Biak, Indonesia",earthquake,,25,0.33,,reviewed,iscgem,iscgem
1916-02-14T10:01:46.130Z,3.544,126.465,70,6.44,mw,,,,,iscgem,iscgem913764,2022-04-26T00:01:52.279Z,"233 km SSE of Sarangani, Philippines",earthquake,,19.1,0.2,,reviewed,iscgem,iscgem
1916-04-15T12:31:43.920Z,-4.338,102.597,35,6.71,mw,,,,,iscgem,iscgem913786,2022-04-26T00:02:21.025Z,"69 km SSE of Bengkulu, Indonesia",earthquake,,18.3,0.29,,reviewed,iscgem,iscgem
1916-07-27T11:52:28.310Z,3.175,97.963,15,6.09,mw,,,,,iscgem,iscgem913829,2022-04-26T00:02:41.156Z,"59 km W of Kabanjahe, Indonesia",earthquake,,25,0.53,,reviewed,iscgem,iscgem
1916-09-11T06:30:37.850Z,-8.769,112.366,65,6.62,mw,,,,,iscgem,iscgem16958304,2022-04-25T20:34:35.312Z,"68 km S of Sumberpucung, Indonesia",earthquake,,31.7,0.2,,reviewed,iscgem,iscgem
1916-12-26T20:10:29.370Z,-1.522,139.176,15,6.27,mw,,,,,iscgem,iscgem913877,2022-04-25T21:14:44.092Z,"200 km NW of Abepura, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1917-01-20T23:11:44.530Z,-8.492,115.198,15,6.54,mw,,,,,iscgem,iscgem913396,2022-04-25T23:57:55.920Z,"7 km WNW of Ubud, Indonesia",earthquake,,13,0.2,,reviewed,iscgem,iscgem
1917-01-31T04:00:14.700Z,5.523,124.908,35,6.93,mw,,,,,iscgem,iscgem913405,2022-04-25T23:58:03.270Z,"37 km S of Daliao, Philippines",earthquake,,13.4,0.2,,reviewed,iscgem,iscgem
1917-04-16T18:45:11.910Z,-1.848,99.524,35,6.02,mw,,,,,iscgem,iscgem913447,2022-04-25T23:58:20.924Z,"135 km SW of Padang, Indonesia",earthquake,,4.4,0.2,,reviewed,iscgem,iscgem
1917-06-03T14:34:39.400Z,-2.896,122.586,35,6.14,mw,,,,,iscgem,iscgem913520,2022-04-25T23:59:01.955Z,"119 km N of Kendari, Indonesia",earthquake,,25,0.44,,reviewed,iscgem,iscgem
1917-07-30T16:22:44.860Z,-2.876,139.107,35,6.15,mw,,,,,iscgem,iscgem913592,2022-04-25T23:59:52.448Z,"172 km W of Abepura, Indonesia",earthquake,,15.9,0.2,,reviewed,iscgem,iscgem
1917-11-04T12:03:34.370Z,2.705,96.513,15,6.93,mw,,,,,iscgem,iscgem913684,2022-04-26T00:00:43.862Z,"28 km NNE of Sinabang, Indonesia",earthquake,,5.6,0.23,,reviewed,iscgem,iscgem
1917-11-16T22:17:03.330Z,5.409,126.594,65,6.62,mw,,,,,iscgem,iscgem913702,2022-04-26T00:00:50.336Z,"114 km SSE of Pondaguitan, Philippines",earthquake,,24,0.21,,reviewed,iscgem,iscgem
1918-01-21T19:45:30.090Z,-0.197,134.11,25,6.39,mw,,,,,iscgem,iscgem913040,2022-05-09T22:48:41.101Z,"73 km N of Manokwari, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1918-02-12T03:00:34.970Z,0.26,96.847,15,6.18,mw,,,,,iscgem,iscgem913064,2022-04-25T23:55:14.515Z,"247 km SSW of Singkil, Indonesia",earthquake,,6.7,0.2,,reviewed,iscgem,iscgem
1918-02-13T02:31:43.000Z,-5.561,102.903,25,6.35,mw,,,,,iscgem,iscgem913071,2022-04-25T23:55:17.752Z,"174 km SSW of Pagar Alam, Indonesia",earthquake,,7,0.2,,reviewed,iscgem,iscgem
1918-06-08T20:13:29.640Z,3.273,128.72,35,6.02,mw,,,,,iscgemsup,iscgemsup913166,2022-05-09T18:04:28.283Z,"188 km NNE of Tobelo, Indonesia",earthquake,,19.5,0.61,,reviewed,iscgemsup,iscgemsup
1918-08-15T12:18:24.830Z,5.538,123.994,20,8.3,mw,,,,,iscgem,iscgem913230,2022-04-25T23:56:13.515Z,"75 km SSW of Malisbeng, Philippines",earthquake,,25,0.4,,reviewed,iscgem,iscgem
1918-08-15T15:26:20.920Z,5.213,124.261,35,6.45,mw,,,,,iscgem,iscgem913231,2022-04-25T23:56:14.588Z,"94 km SSW of Tambilil, Philippines",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1918-08-15T17:30:11.210Z,5.232,125.751,15,6.74,mw,,,,,iscgem,iscgem913232,2022-04-25T23:56:15.780Z,"37 km ESE of Sarangani, Philippines",earthquake,,23.1,0.51,,reviewed,iscgem,iscgem
1918-08-16T03:25:40.630Z,5.382,124.671,35,6,mw,,,,,iscgem,iscgem913233,2022-04-25T23:56:17.022Z,"58 km SSW of Katubao, Philippines",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1918-08-18T06:04:58.070Z,4.367,123.321,15,6.12,mw,,,,,iscgemsup,iscgemsup913239,2022-05-09T18:04:40.690Z,"225 km SSW of Malisbeng, Philippines",earthquake,,10.2,0.2,,reviewed,iscgemsup,iscgemsup
1918-08-31T21:53:52.650Z,-9.4,109.879,35,6.23,mw,,,,,iscgem,iscgem913251,2022-04-25T23:56:40.180Z,"166 km SSW of Bambanglipuro, Indonesia",earthquake,,25,0.36,,reviewed,iscgem,iscgem
1918-09-05T07:05:34.560Z,5.501,125.465,15,6.11,mw,,,,,iscgem,iscgem913256,2022-04-25T23:56:51.205Z,"10 km SE of Bukid, Philippines",earthquake,,25,0.39,,reviewed,iscgem,iscgem
1918-09-22T09:55:00.130Z,-1.457,100.09,35,6.51,mw,,,,,iscgem,iscgem913286,2022-04-25T23:56:58.301Z,"63 km SSW of Padang, Indonesia",earthquake,,6.5,0.2,,reviewed,iscgem,iscgem
1918-10-16T20:04:54.430Z,-9.082,123.376,35,6.46,mw,,,,,iscgem,iscgem913317,2022-04-25T23:57:10.693Z,"71 km NW of Naisano Dua, Indonesia",earthquake,,18.7,0.2,,reviewed,iscgem,iscgem
1918-11-23T22:57:42.370Z,-6.794,129.109,15,6.75,mw,,,,,iscgem,iscgem913349,2022-04-25T23:57:30.981Z,"Banda Sea",earthquake,,32.6,0.2,,reviewed,iscgem,iscgem
1919-01-18T05:52:25.480Z,-4.646,101.454,35,6.31,mw,,,,,iscgem,iscgem912712,2022-04-25T23:50:53.230Z,"129 km SW of Bengkulu, Indonesia",earthquake,,4.2,0.21,,reviewed,iscgem,iscgem
1919-03-21T17:29:26.130Z,3.3,127.054,35,6.05,mw,,,,,iscgemsup,iscgemsup912750,2022-05-09T18:01:32.608Z,"203 km NNW of Tobelo, Indonesia",earthquake,,22.4,0.2,,reviewed,iscgemsup,iscgemsup
1919-04-02T00:34:59.580Z,-5.493,104.489,20,6.35,mw,,,,,iscgem,iscgem912756,2022-04-25T23:51:21.799Z,"85 km SSW of Kotabumi, Indonesia",earthquake,,28.9,0.21,,reviewed,iscgem,iscgem
1919-04-24T17:10:45.820Z,-7.831,107.03,35,6.02,mw,,,,,iscgemsup,iscgemsup912769,2022-05-09T16:04:03.200Z,"83 km SSW of Banjar, Indonesia",earthquake,,12.4,0.74,,reviewed,iscgemsup,iscgemsup
1919-08-29T05:44:03.100Z,-3.028,127.391,15,7,mw,,,,,iscgem,iscgem912906,2022-04-25T23:53:18.253Z,"114 km NW of Ambon, Indonesia",earthquake,,11,0.43,,reviewed,iscgem,iscgem
1919-10-12T21:48:27.850Z,-4.296,101.465,25,6.54,mw,,,,,iscgem,iscgem912979,2022-04-25T23:54:05.800Z,"104 km WSW of Bengkulu, Indonesia",earthquake,,4.2,0.33,,reviewed,iscgem,iscgem
1919-11-18T03:58:39.100Z,-6.711,131.814,35,6.74,mw,,,,,iscgem,iscgem913004,2022-04-25T23:54:21.459Z,"158 km SW of Tual, Indonesia",earthquake,,32.8,0.2,,reviewed,iscgem,iscgem
1920-03-17T18:37:05.060Z,1.587,95.56,15,6.24,mw,,,,,iscgem,iscgem912458,2022-04-25T23:46:02.006Z,"134 km SW of Sinabang, Indonesia",earthquake,,25,0.21,,reviewed,iscgem,iscgem
1920-05-19T03:10:53.190Z,2.511,119.305,35,6.26,mw,,,,,iscgem,iscgem912496,2022-04-25T23:46:34.078Z,"210 km ESE of Tarakan, Indonesia",earthquake,,25,0.29,,reviewed,iscgem,iscgem
1920-05-19T12:41:45.860Z,-6.387,125.163,35,6.26,mw,,,,,iscgemsup,iscgemsup912498,2022-05-09T17:59:47.407Z,"Banda Sea",earthquake,,25,0.38,,reviewed,iscgemsup,iscgemsup
1920-06-09T11:30:39.230Z,-4.885,129.637,15,6.96,mw,,,,,iscgem,iscgem912525,2022-04-25T23:46:59.839Z,"188 km SSE of Amahai, Indonesia",earthquake,,36.3,0.2,,reviewed,iscgem,iscgem
1920-07-02T21:36:47.990Z,-4.367,130.046,15,6.39,mw,,,,,iscgem,iscgem912549,2022-04-25T23:47:01.676Z,"168 km SE of Amahai, Indonesia",earthquake,,25,0.25,,reviewed,iscgem,iscgem
1920-08-03T03:01:59.240Z,5.901,127.892,15,6.28,mw,,,,,iscgem,iscgem912572,2022-04-25T23:47:30.041Z,"196 km ESE of Pondaguitan, Philippines",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1921-02-14T01:00:51.920Z,5.146,128.892,15,6.32,mw,,,,,iscgem,iscgem912164,2022-04-25T23:42:54.899Z,"east of the Philippine Islands",earthquake,,25,0.21,,reviewed,iscgem,iscgem
1921-02-19T14:33:48.770Z,-0.853,133.85,15,6.35,mw,,,,,iscgem,iscgem912166,2022-04-25T23:42:56.048Z,"23 km W of Manokwari, Indonesia",earthquake,,4.6,0.2,,reviewed,iscgem,iscgem
1921-02-19T18:14:43.800Z,-2.077,139.103,25,6.75,mw,,,,,iscgem,iscgem912167,2022-04-25T23:42:57.242Z,"179 km WNW of Abepura, Indonesia",earthquake,,11.4,0.2,,reviewed,iscgem,iscgem
1921-03-03T08:20:17.430Z,-6.464,102.994,15,6.49,mw,,,,,iscgem,iscgem912175,2022-04-25T23:43:00.805Z,"271 km S of Pagar Alam, Indonesia",earthquake,,5.6,0.22,,reviewed,iscgem,iscgem
1921-03-23T22:44:14.940Z,-5.771,129.905,15,6.51,mw,,,,,iscgem,iscgem912187,2022-04-25T23:43:04.525Z,"290 km SSE of Amahai, Indonesia",earthquake,,36.9,0.2,,reviewed,iscgem,iscgem
1921-04-01T04:06:44.730Z,1.795,98.164,35,6.71,mw,,,,,iscgem,iscgem912197,2022-04-25T23:43:24.174Z,"68 km SE of Singkil, Indonesia",earthquake,,7.8,0.2,,reviewed,iscgem,iscgem
1921-05-14T11:17:55.440Z,0.677,118.938,35,6.52,mw,,,,,iscgem,iscgem912226,2022-04-25T23:43:42.022Z,"172 km ENE of Bontang, Indonesia",earthquake,,25,0.32,,reviewed,iscgem,iscgem
1921-09-11T04:01:45.060Z,-10.046,110.653,15,7.58,mw,,,,,iscgem,iscgem912309,2022-04-25T23:44:36.636Z,"233 km S of Pundong, Indonesia",earthquake,,25,0.35,,reviewed,iscgem,iscgem
1921-10-10T02:06:08.700Z,-3.048,138.69,35,6.76,mw,,,,,iscgem,iscgem912337,2022-04-25T23:45:04.014Z,"221 km WSW of Abepura, Indonesia",earthquake,,23.1,0.2,,reviewed,iscgem,iscgem
1922-04-05T09:59:33.890Z,-1.388,137.403,25,6.89,mw,,,,,iscgem,iscgem911855,2022-04-25T23:40:25.895Z,"148 km E of Biak, Indonesia",earthquake,,25,0.28,,reviewed,iscgem,iscgem
1922-04-08T03:32:58.570Z,-5.32,102.26,30,6.16,mw,,,,,iscgem,iscgem911860,2022-04-25T23:40:30.711Z,"168 km S of Bengkulu, Indonesia",earthquake,,7.6,0.63,,reviewed,iscgem,iscgem
1922-05-09T13:50:30.770Z,-9.272,118.683,35,6.98,mw,,,,,iscgem,iscgem911893,2022-04-25T23:40:47.478Z,"84 km SSE of Dompu, Indonesia",earthquake,,23.3,0.33,,reviewed,iscgem,iscgem
1922-09-11T14:44:23.580Z,-0.336,122.921,35,6.43,mw,,,,,iscgem,iscgem912010,2022-04-25T21:14:15.480Z,"69 km NNE of Luwuk, Indonesia",earthquake,,40.1,0.43,,reviewed,iscgem,iscgem
1923-02-23T05:51:59.700Z,-0.63,123.161,35,6.43,mw,,,,,iscgem,iscgem911295,2022-04-25T23:34:44.151Z,"54 km NE of Luwuk, Indonesia",earthquake,,40.1,0.2,,reviewed,iscgem,iscgem
1923-03-28T04:28:30.050Z,-8.376,124.019,35,6.57,mw,,,,,iscgem,iscgem911324,2022-04-25T23:35:05.421Z,"99 km NNW of Pante Makasar, Timor Leste",earthquake,,37.9,0.57,,reviewed,iscgem,iscgem
1923-04-19T03:09:13.610Z,2.536,117.432,35,6.81,mw,,,,,iscgem,iscgem911334,2022-04-25T23:35:13.001Z,"87 km SSW of Tarakan, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1923-05-12T01:20:09.470Z,-6.904,105.265,25,6.45,mw,,,,,iscgem,iscgem911366,2022-04-25T23:35:33.571Z,"85 km SW of Labuan, Indonesia",earthquake,,30.3,0.2,,reviewed,iscgem,iscgem
1923-08-11T00:54:43.210Z,5.252,118.26,35,6.55,mw,,,,,iscgem,iscgem911497,2022-04-25T23:37:17.669Z,"26 km NNW of Lahad Datu, Malaysia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1923-09-16T16:34:47.070Z,-2.481,139.054,35,6.51,mw,,,,,iscgem,iscgem911641,2022-04-25T23:38:12.171Z,"175 km W of Abepura, Indonesia",earthquake,,16,0.2,,reviewed,iscgem,iscgem
1923-10-07T03:29:38.210Z,-1.211,129.554,15,7.41,mw,,,,,iscgem,iscgem911676,2022-04-25T23:38:55.471Z,"193 km W of Sorong, Indonesia",earthquake,,11.5,0.32,,reviewed,iscgem,iscgem
1923-10-15T07:32:09.980Z,-9.941,119.62,15,6.34,mw,,,,,iscgem,iscgem911692,2022-04-25T23:38:58.011Z,"77 km WSW of Waingapu, Indonesia",earthquake,,22.2,0.29,,reviewed,iscgem,iscgem
1923-10-15T07:58:00.830Z,-10.218,120.257,35,6.32,mw,,,,,iscgemsup,iscgemsup911693,2022-05-09T17:56:05.411Z,"62 km S of Waingapu, Indonesia",earthquake,,25,0.32,,reviewed,iscgemsup,iscgemsup
1923-12-05T22:35:10.400Z,-1.401,121.004,35,6.56,mw,,,,,iscgem,iscgem911766,2022-04-25T23:39:31.863Z,"28 km E of Poso, Indonesia",earthquake,,25,0.52,,reviewed,iscgem,iscgem
1924-02-13T22:50:18.830Z,-3.065,121.254,35,6.59,mw,,,,,iscgem,iscgem910833,2022-04-25T21:13:37.467Z,"117 km E of Palopo, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1924-04-13T13:48:05.260Z,0.701,117.51,35,6.2,mw,,,,,iscgem,iscgem910909,2022-04-25T23:30:32.939Z,"62 km N of Bontang, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1924-05-17T05:16:07.540Z,-2.394,132.914,15,6.44,mw,,,,,iscgem,iscgem910958,2022-04-25T23:31:01.492Z,"212 km SW of Manokwari, Indonesia",earthquake,,25,0.32,,reviewed,iscgem,iscgem
1924-07-29T05:18:42.560Z,-3.137,121.091,35,6.52,mw,,,,,iscgem,iscgem911044,2022-04-25T23:31:53.457Z,"100 km E of Palopo, Indonesia",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1924-09-11T03:25:42.970Z,5.795,126.771,35,6.48,mw,,,,,iscgem,iscgem911107,2022-04-25T23:33:10.532Z,"90 km SE of Pondaguitan, Philippines",earthquake,,40.3,0.2,,reviewed,iscgem,iscgem
1925-03-22T14:05:38.070Z,-2.194,138.398,15,6.01,mw,,,,,iscgem,iscgem910424,2022-04-25T23:24:56.825Z,"252 km W of Abepura, Indonesia",earthquake,,14.5,0.2,,reviewed,iscgem,iscgem
1925-04-22T23:10:42.720Z,-1.002,128.752,15,6.16,mw,,,,,iscgem,iscgem910459,2022-04-25T23:25:17.026Z,"233 km SE of Sofifi, Indonesia",earthquake,,25,0.37,,reviewed,iscgem,iscgem
1925-05-03T17:21:46.470Z,1.223,126.303,15,7.13,mw,,,,,iscgem,iscgem910473,2022-04-25T23:25:24.787Z,"129 km WNW of Ternate, Indonesia",earthquake,,21,0.24,,reviewed,iscgem,iscgem
1925-05-05T23:21:08.960Z,1.114,126.095,15,6.72,mw,,,,,iscgem,iscgem910484,2022-04-25T23:25:35.187Z,"131 km ESE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,,23.1,0.31,,reviewed,iscgem,iscgem
1925-06-03T04:33:53.630Z,1.223,125.917,15,6.9,mw,,,,,iscgem,iscgem910524,2022-04-25T21:13:08.239Z,"108 km ESE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,,23.1,0.4,,reviewed,iscgem,iscgem
1925-06-11T15:56:52.350Z,-3.082,140.344,35,6,mw,,,,,iscgem,iscgem910535,2022-04-25T23:26:34.951Z,"62 km SSW of Abepura, Indonesia",earthquake,,25,0.31,,reviewed,iscgem,iscgem
1925-07-17T21:08:01.580Z,-2.93,136.911,35,6.16,mw,,,,,iscgem,iscgem910612,2022-04-25T21:13:19.237Z,"163 km ENE of Nabire, Indonesia",earthquake,,8.8,0.46,,reviewed,iscgem,iscgem
1925-09-25T08:45:17.000Z,-6.917,102.646,15,6.06,mw,,,,,iscgem,iscgem910692,2022-04-25T23:27:57.185Z,"southwest of Sumatra, Indonesia",earthquake,,12.4,0.2,,reviewed,iscgem,iscgem
